
路上观察学入门,"[日] 赤濑川原平 / [日] 藤森照信 / [日] 南伸坊,",生活·读书·新知三联书店,,chinese,PDF, 59.82 MB
梁思成《图像中国建筑史》手绘图,"梁思成,",新星出版社,2017,chinese,PDF, 35.42 MB
Architecture: A Very Short Introduction (Very Short Introductions),"Andrew Ballantyne,","Oxford University Press, USA",2002,english,EPUB, 701 KB
Raumplan vs. Plan Libre: Adolf Loos and le Corbusier,"Risselada M.,",,1993,english,PDF, 32.26 MB
Autodesk Inventor 2019 and Engineering Graphics,"Randy H. Shih,",SDC Publications,2018,english,PDF, 107.26 MB
The Very Efficient Carpenter: Basic Framing for Residential Construction (For Pros   By Pros),"Larry Haun,",,1998,english,PDF, 14.30 MB
建筑空间组合论: （第三版）,"彭一刚,",中国建筑工业出版社,2008,chinese,PDF, 124.28 MB
建筑理论史: 从维特鲁威到现在,"汉诺-沃尔特·克鲁夫特,",中国建筑工业出版社,2005,chinese,PDF, 43.51 MB
El Croquis 53+79 - OMA / Rem Koolhaas 1987-1998,"Fernando Márquez Cecilia, Rem Koolhaas,",El Croquis,2005,english,PDF, 45.14 MB
The Small House Book,"Jay Shafer,",Tumbleweed Tiny House,2009,english,PDF, 13.91 MB
写给大家的中国美术史,"蒋勋,",三联书店,2008,chinese,PDF, 114.27 MB
中国建筑艺术全集 19 风景建筑,"中国建筑艺术全集编辑委员会编；杜顺宝卷主编,",中国建筑工业出版社,1999,chinese,PDF, 137.29 MB
中国建筑与历史文化精选（套装共5本）(中国古建筑艺术学家和历史地理学家汪荣祖、陈从周、侯仁之等大师扛鼎之作),"汪荣祖 & 陈从周 & 侯仁之 & 北京大学政策法规研究室,",外语教学与研究出版社,2020,chinese,EPUB, 26.58 MB
"Blender 3D Architecture, Buildings, and Scenery: Create photorealistic 3D architectural visualizations of buildings, interiors, and environmental scenery","Allan Brito,",Packt Publishing,2008,english,PDF, 13.37 MB
"Architecturally Exposed Structural Steel: Specifications, Connections, Details","Terri Meyer Boake,",Birkhauser,2015,english,PDF, 31.40 MB
今昔物语（浮世绘插图珍藏版）,"北京编译社 译周作人 校 [北京编译社 译 周作人 校],",,2017,chinese,EPUB, 2.74 MB
Designing tall buildings : structure as architecture,"Sarkisian, Mark P.,",,2016,english,PDF, 45.13 MB
清宫生活图典,"万依, 王树卿, 陆燕贞,",紫禁城出版社,2007,chinese,PDF, 225.48 MB
Chinese Architecture: A History,"Nancy Steinhardt,",Princeton Univers. Press,2019,english,PDF, 87.50 MB
中国建筑艺术全集  11  会馆建筑·祠堂建筑,"中国建筑艺术全集编辑委员会编；巫纪光等卷主编；柳肃等摄影,",中国建筑工业出版社,2003,chinese,PDF, 101.99 MB
A Place of My Own: The Architecture of Daydreams,"Michael Pollan,",Penguin Group,2008,english,EPUB, 624 KB
Barry's Introduction to Construction of Buildings,"Stephen Emmitt, Christopher A. Gorse,",Wiley-Blackwell,2014,english,PDF, 57.21 MB
Time-Saver Standards for Interior Design & Planning,"Julius Panero, Martin Zelnik, Joseph De Chiara, Julius Panero, Martin Zelnik, Joseph De Chiara,",Mcgraw-Hill (Tx),1991,english,PDF, 124.80 MB
Time-Saver Standards for Architectural Design Data,"Donald Watson,",McGraw-Hill Professional,1999,english,PDF, 85.99 MB
"Space, Time and Architecture: The Growth of a New Tradition","Sigfried Giedion,",Harvard University Press,1959,english,PDF, 172.77 MB
Detail in Contemporary Bar and Restaurant Design,"Drew Plunkett, Olga Reid,",Laurence King Publishing,2013,english,PDF, 56.75 MB
中国建筑艺术全集  15  道教建筑,"中国建筑艺术全集编辑委员会编,",中国建筑工业出版社,2002,chinese,PDF, 145.12 MB
"Design, when everybody designs: an introduction to design for social innovation","Ezio Manzini,",The MIT Press,2015,english,PDF, 1.78 MB
The Aesthetics of Architecture,"Roger Scruton,",,1980,english,PDF, 5.25 MB
Title,Author(s),Language,Publisher,Publish Year,File Size,File Format
"Graphic Design and Architecture, A 20th Century History: A Guide to Type, Image, Symbol, and Visual Storytelling in the Modern World","Richard Poulin,",Rockport Publishers,2012,english,PDF, 36.68 MB
A History of Architecture: Settings and Rituals (2nd edition)  ,"Spiro Kostof, Greg Castillo (revisions), Richard Tobias (illustrations),",Oxford University Press,1995,english,PDF, 336.78 MB
梁思成全集,"梁思成,",中国建筑工业出版社,,chinese,PDF, 89.79 MB
Urban design: Street and Square,"J. C. Moughtin,",Architectural Press,2003,english,PDF, 19.47 MB
Richard Meier,"Philip Jodidio,",Benedikt Taschen Verlag,1995,english,PDF, 52.93 MB
风景与权力,"[美]W.J.T.米切尔(编), 杨丽(译), 万信琼(译),",译林出版社,2014,chinese,PDF, 186.06 MB
Australia’s Best Interiors,"Gary Takle,",Think Publishing,2011,english,PDF, 115.24 MB
独异之物：建筑与哲学,"让·努维尔, 让·鲍德里亚,",北京出版社,2020,chinese,PDF, 3.55 MB
Houses Made of Wood and Light: The Life and Architecture of Hank Schubart,"Michele Dunkerley,",University of Texas Press,2012,english,PDF, 151.60 MB
Radical Housing - Designing multi-generational and co-living housing for all,"Caroline Dove,",RIBA Publishing,2020,english,EPUB, 20.95 MB
穿墙透壁——剖视中国经典古建筑,"李乾朗,",广西师范大学出版社,2009,chinese,PDF, 55.21 MB
Hiroshige: One Hundred Famous Views of Edo,"Henry D. Smith, Ando Hiroshige,",George Braziller Inc.,2000,english,PDF, 7.57 MB
Smart Cities: A Spatialised Intelligence (Architectural Design),"Antoine Picon,",John Wiley & Sons,2015,english,PDF, 84.98 MB
"Sketchup for site design  : a guide to modeling site plans, terrain and architecture","Tal, Daniel,",John Wiley & Sons,2016,english,PDF, 31.33 MB
建筑论: 阿尔伯蒂建筑十书,"莱昂·巴蒂斯塔·阿尔伯蒂,",中国建筑工业出版社,2010,chinese,PDF, 50.93 MB
Traditional Japanese Architecture: An Exploration of Elements and Forms,"Mira Locher, Ben Simmons (photo),",Tuttle Publishing,2012,english,EPUB, 25.42 MB
"Architect and Entrepreneur: A Field Guide to Building, Branding, and Marketing Your Startup Design Business","Eric W. Reinholdt,",CreateSpace Independent Publishing Platform,2015,english,EPUB, 272 KB
Indian Architectural Theory and Practice: Contemporary Uses of Vastu Vidya,"Vibhuti Chakrabarti,",Curzon Press,1998,english,PDF, 7.39 MB
Introduction to Architectural Science: The Basis of Sustainable Design,,Wright,2004,english,PDF, 5.96 MB
Genius Loci: Towards a Phenomenology of Architecture,"Christian Norberg-Schulz,",Rizzoli,1979,english,PDF, 24.41 MB
Antoni Gaudí,"Roe, J., Gaudí, Antoni,",Parkstone International,2012,english,PDF, 66.22 MB
设计思维：建筑设计过程解析,"(英)布莱恩·劳森, 范文兵, 范文莉,",知识产权出版社,2007,chinese,PDF, 30.85 MB
图说建筑结构,"日本建筑构造技术者协会 编,",中国建筑工业出版社,2000,chinese,PDF, 19.71 MB
Green Architecture: The Art of Architecture in the Age of Ecology,"James Wines, Philip Jodidio,",Taschen America Llc,2000,english,PDF, 49.38 MB
中国建筑艺术全集 20 宅第建筑1 北方汉族,"中国建筑艺术全集编辑委员会编；侯幼彬卷主编,",中国建筑工业出版社,1999,chinese,PDF, 124.34 MB
An Introduction to Architectural Theory: 1968 to the Present,"Harry Francis Mallgrave, David Goodman,",Wiley-Blackwell,2011,english,PDF, 15.11 MB
中国建筑艺术全集  8  清代陵墓建筑,"王其亨卷主编；中国建筑艺术全集编辑委员会编；王其亨，徐庭发摄影,",中国建筑工业出版社,2003,chinese,PDF, 246.29 MB
如何理解建筑（从10个角度理解建筑本质，提升审美力，一本书读懂建筑的艺术价值）,"维托尔德·雷布琴斯基 [维托尔德·雷布琴斯基],",浙江教育出版社,2019,chinese,PDF, 76.25 MB
Acoustics and Sound Insulation,"Eckard Mommertz,",Birkhäuser Architecture,2009,english,PDF, 11.27 MB
中国建筑艺术全集  14  佛教建筑  3  藏传,"陈耀东主编；中国建筑艺术全集编辑委员会编,",中国建筑工业出版社,1999,chinese,PDF, 147.26 MB
150 Best New Eco Home Ideas,"Francesc Zamora Mola,",Harper Design,2017,english,EPUB, 349.36 MB
隈研吾: 建筑构造细部,"隈研吾建筑都市设计事务所 编,",中国建筑工业出版社,2005,chinese,PDF, 56.92 MB
Happy City: Transforming Our Lives Through Urban Design,"Charles Montgomery,",Penguin Books,2015,english,EPUB, 7.07 MB
"The New Structuralism: Design, Engineering and Architectural Technologies (Architectural Design 07-08.2010, Vol. 80, N°. 4)","Rivka Oxman, Robert Oxman,",Wiley,2010,english,PDF, 44.33 MB
世界现代建筑史,"王受之,",中国建筑工业出版社,1999,chinese,PDF, 15.85 MB
"The Architecture of Frank Lloyd Wright: A Complete Catalog, 4th Edition","William Allin Storrer,",The University of Chicago Press,2017,english,EPUB, 205.00 MB
The City of To-morrow and Its Planning,"Le Corbusier, Frederick Etchells, Frederick Etchells,",Dover Publications,1987,english,EPUB, 10.36 MB
100 home design principles,"Arthur Gao,",Liaoning Science & Technology Pub. House,2012,english,PDF, 37.11 MB
中国建筑艺术全集  9  坛庙建筑,"中国建筑艺术全集编辑委员会编；孙大章卷主编,",中国建筑工业出版社,2000,chinese,PDF, 87.34 MB
Manual de estructuras ilustrado,"Barry S. Onouye, Douglas Zuberbuhler, Francis D. K. Ching,",Editorial Gustavo Gili,2014,spanish,PDF, 15.60 MB
100 restaurant design principles,"Arthur Gao.,",Liaoning Science & Technology Pub. House,2012,english,PDF, 39.47 MB
中国建筑艺术全集  16  伊斯兰教建筑,"中国建筑艺术全集编辑委员会编,",中国建筑工业出版社,2003,chinese,PDF, 135.62 MB
Mies Van Der Rohe: The Built Work,"Carsten Krohn,",Birkhauser,2014,english,PDF, 44.40 MB
Taunton's Cabins & Cottages and Other Small Spaces,"Editors of Fine Homebuilding,",Taunton Press,2014,english,PDF, 31.01 MB
A World History of Architecture,"Marian Moffett, Michael Fazio, Lawrence Wodehouse,",,2003,english,PDF, 293.02 MB
住宅景观设计,"诺曼·K·布思,",北京科学技术出版社,2013,chinese,PDF, 174.22 MB
Fundamentals of Residential Construction  ,"Edward Allen, Rob Thallon,",John Wiley and Sons,2011,english,PDF, 256.67 MB
景观设计学：场地规划与设计手册,"约翰·O·西蒙兹,",中国建筑工业出版社,2000,chinese,PDF, 30.60 MB
50 cosas que hay que saber sobre arquitectura,"PHILIP WILKINSON,",,,spanish,PDF, 57.66 MB
肌肤之目: 建筑与感官(原著第3版),"(芬兰)尤哈尼·帕拉斯玛,",中国建筑工业出版社,2016,chinese,PDF, 14.50 MB
Title,Author(s),Language,Publisher,Publish Year,File Size,File Format
Art Deco: 1910–1939,"Charlotte Benton, Tim Benton, Ghislaine Wood, Oriana Baddeley,",Bulfinch Press,2003,english,PDF, 139.25 MB
"Rendering in SketchUp: From Modeling to Presentation for Architecture, Landscape Architecture and Interior Design","Daniel Tal,",Wiley,2013,english,PDF, 114.77 MB
日本庭院景致设计,"高野好造,",福建科学技术出版社,2006,chinese,PDF, 119.60 MB
新经典双语阅读·纳尼亚传奇全集（套装共7册）（与《魔戒》《哈利·波特》并称为世界三大奇幻经典巨著）,"C.S.路易斯,",华东理工大学出版社有限公司,2020,english,MOBI , 4.03 MB
走向新建筑（“现代建筑的旗手”柯布西耶代表作，首度收录17张柯布西耶《世界遗产名录》建筑作品彩插，法语直译无删节全新译本）,"勒·柯布西耶,",江苏凤凰文艺出版社,2021,chinese,EPUB, 20.69 MB
Architecture Now! 6 ,"Philip Jodidio,",Taschen America ,2001,english,PDF, 244.10 MB
中国建筑艺术全集 17 皇家园林,"周维权，楼庆西著,",中国建筑工业出版社,1999,chinese,PDF, 125.10 MB
Renzo Piano: Architecture Monograph/Monografico Arquitectura,"Renzo Piano,",Gingko Press,1999,english,PDF, 26.37 MB
中国建筑艺术全集  13  佛教建筑  2  南方,"中国建筑艺术全集编辑委员会编；丁承朴卷主编,",中国建筑工业出版社,1999,chinese,PDF, 96.42 MB
架构解密：从分布式到微服务（第2版）,"Leader-us,",,2020,chinese,PDF, 41.67 MB
Notes on the Synthesis of Form,"Christopher Alexander,",Harvard University Press,1964,english,PDF, 25.47 MB
"Chroma: Design, Architecture and Art in Color","Barbara Glasner,",Birkhäuser Architecture,2009,english,PDF, 42.60 MB
中国建筑艺术全集  7  明代陵墓建筑,"中国建筑艺术全集编辑委员会编；明十三陵特区办事处卷主编,",中国建筑工业出版社,2000,chinese,PDF, 96.14 MB
Art Nouveau Architecture,"Keiichi Tahara,",Thames & Hudson,2000,english,PDF, 96.45 MB
Language of Space,"Bryan Lawson,",Architectural Press,2001,english,PDF, 19.23 MB
Great Buildings,"Philip Wilkinson,",DK,2012,english,PDF, 102.31 MB
Restaurant Design,,daab,2004,english,RAR, 61.39 MB
"Architecture now! 3 (Edizione italiana, spagnola e portoghese)","Philip Jodidio,",Taschen America Llc,2004,english,PDF, 161.45 MB
"Sacred Geography of the Ancient Greeks: Astrological Symbolism in Art, Architecture and Landscape","Jean Richer, Christine Rhone (trans.),",State University of New York Press,1994,english,PDF, 15.34 MB
Universe of Stone: A Biography of Chartres Cathedral,"Philip Ball,",Harper Perennial,2009,english,PDF, 7.89 MB
Site Planning International Practice,"Gary Hack, Kevin Lynch,",MIT Press,,english,EPUB, 31.73 MB
150 Best New Cottage and Cabin Ideas,"Francesc Zamora,",HarperCollins,2020,english,EPUB, 228.90 MB
Taking Shape: A New Contract Between Architecture and Nature,"Susannah Hagan,",Architectural Press,2001,english,PDF, 10.43 MB
思想录,"帕斯卡尔,",,2011,chinese,MOBI , 749 KB
中国建筑艺术全集  6  元代前陵墓建筑,"中国建筑艺术全集编辑委员会编；赵立瀛，刘临安卷主编,",中国建筑工业出版社,1999,chinese,PDF, 106.63 MB
Practical Ideas for Small Spaces,"Cristina Paredes,",Loft Publications,2008,english,PDF, 23.02 MB
The New Architecture and the Bauhaus,"Walter Gropius,", ‎ The MIT Press,,english,PDF, 15.90 MB
Site Analysis: A Contextual Approach to Sustainable Land Planning and Site Design  ,"James A. LaGro,",Wiley,2007,english,PDF, 16.63 MB
徒手绘画及速写,"(德)卡尔·克里斯蒂安·霍伊泽尔(Karl Christion Heuser)[著], 彭蕴琏，王乃川译,",安徽科学技术出版社,2002,chinese,PDF, 16.24 MB
The Fundamentals of Landscape Architecture,"Tim Waterman,",Fairchild Books,2015,english,PDF, 27.90 MB
The modular housing handbook,"SimonBayliss, Rory Bergin,",RIBA Publishing,2020,english,PDF, 84.62 MB
中国建筑艺术全集 宫殿建筑3  沈阳,"支运亭，王佩环，井晓光主编,",中国建筑工业出版社,1999,chinese,PDF, 114.14 MB
Makers of Modern Architecture - Volume III (From Antoni Gaudí to Maya Lin),"Martin Filler,",New York Review Books,2018,english,EPUB, 28.25 MB
Roman Architecture and Urbanism: From the Origins to Late Antiquity,"Fikret Yegül, Diane Favro,",Cambridge University Press,2019,english,PDF, 113.50 MB
Peter Zumthor Works - Buildings Projects,"Princeton Arch Staff,",Lars Muller,1998,english,PDF, 51.00 MB
Architectural Drawing Course: Tools and Techniques for 2D and 3D Representation,"Mo Zell,",Barron's Educational Series,2008,english,PDF, 26.05 MB
Basics Architecture: Architectural Design  ,"Jane Anderson,",Ava Publishing,2010,english,PDF, 14.39 MB
Finite Element Simulations with ANSYS Workbench 2021,"Lee, Huei-Huang,",SDC Publications,2021,english,PDF, 58.38 MB
Ludwig Mies van der Rohe,"Jean Louis Cohen,",Akal Ediciones,2000,spanish,PDF, 45.41 MB
从卡夫卡到昆德拉: 20世纪的小说和小说家,"吴晓东,",生活·读书·新知三联书店,2017,chinese,PDF, 117.21 MB
建筑师的20岁,"东京大学工学部建筑学科, 安藤忠雄研究室 编,",清华大学出版社,2005,chinese,PDF, 22.62 MB
Mastering Autodesk Revit 2018,"Marcus Kim and Lance Kirby,",Sybex,2017,english,PDF, 61.77 MB
"Construction detailing for landscape and garden design: surface, steps and margins","Hensey, Paul,",Routledge,2016,english,PDF, 15.57 MB
Multiunit Housing: Architectural Design,"Carles Broto,",Books Nippan,1997,english,PDF, 44.21 MB
建筑师（漫画）,"(美) 大卫·马祖凯利,",北京联合出版公司,2019,chinese,PDF, 34.09 MB
Archigram: Architecture without Architecture,"Simon Sadler,",The MIT Press,2005,english,PDF, 10.48 MB
World Architecture A Cross-Cultural History,"Richard Ingersoll,",,,english,PDF, 187.69 MB
Architecture Now! 1 (English/French/German Edition),"Philip Jodidio,",Taschen,2001,english,PDF, 79.67 MB
The Tiny House Handbook,"Charlie Wing,",Wiley,2020,english,EPUB, 44.10 MB
BIG. Yes is More. An Archicomic on Architectural Evolution,"Bjarke ingels, BIG (Bjarke Ingels Group),",TASCHEN GmbH,2009,english,PDF, 36.22 MB
Title,Author(s),Language,Publisher,Publish Year,File Size,File Format
Between Silence and Light: Spirit in the Architecture of Louis I. Kahn,"John Lobell, Louis I. Kahn,",Shambhala,1985,english,PDF, 9.24 MB
《世界建筑漫游指南》（套装共6册）千幅世界建筑精美照片带你游走于鲜活的建筑文化之中，品味世界建筑之美,"陈文捷 & 郭学明 & 张克群 & 于洋,",机械工业出版社,2020,chinese,EPUB, 207.72 MB
Brunelleschi's Dome: How a Renaissance Genius Reinvented Architecture  ,"Ross King,",Walker & Co.,2000,english,EPUB, 1.16 MB
Urban land use: community-based planning,"Kimberly Etingoff,",Apple Academic Press : CRC Press,2017,english,PDF, 5.47 MB
